yard,week,pot_id,pot_order,pot_row,pot_col,rnd_seed,date,combination,mono_hetero,nitrogen,plant_num,plant_species,leaves_emerged,leaves_emerging,leaves_dead,leaf_height,leaf_width,dead,resprout,notes,check notes
AUS,1,027_X_EpEv_AUS,1,1,1,1,7/20/2020,,,,1,Eutrochium fistulosum,16,8,8,1.51,0.89,N,N,,
AUS,1,027_X_EpEv_AUS,1,1,1,1,7/20/2020,,,,2,Elymus virginicus,6,1,1,14.1,0.4,N,N,,
AUS,1,054_N_CnEv_AUS,2,1,2,1,7/20/2020,,,,1,Chamaecrista nictitans,15,8,0,3.2,2.4,N,N,,
AUS,1,054_N_CnEv_AUS,2,1,2,1,7/20/2020,,,,2,Elymus virginicus,4,1,0,10.4,0.25,N,N,,
AUS,1,038_N_EpEp_AUS,3,1,3,1,7/20/2020,,,,1,Eutrochium fistulosum,0,7,0,NA,NA,N,N,,
AUS,1,038_N_EpEp_AUS,3,1,3,1,7/20/2020,,,,2,Eutrochium fistulosum,0,0,0,NA,NA,N,N,,
AUS,1,010_X_EpEp_AUS,4,1,4,1,7/20/2020,,,,1,Eutrochium fistulosum,9,11,7,2.1,1.2,N,N,,
AUS,1,010_X_EpEp_AUS,4,1,4,1,7/20/2020,,,,2,Eutrochium fistulosum,0,28,0,NA,NA,N,N,,
AUS,1,024_X_CnEv_AUS,5,1,5,1,7/20/2020,,,,1,Chamaecrista nictitans,26,10,0,4,2.2,N,N,,
AUS,1,024_X_CnEv_AUS,5,1,5,1,7/20/2020,,,,2,Elymus virginicus,4,2,0,11.1,0.35,N,N,,
AUS,1,034_N_CnCn_AUS,6,1,6,1,7/20/2020,,,,1,Chamaecrista nictitans,20,5,0,3.1,2.2,N,N,,
AUS,1,034_N_CnCn_AUS,6,1,6,1,7/20/2020,,,,2,Chamaecrista nictitans,11,5,0,2.4,1.8,N,N,,
AUS,1,048_N_CnEp_AUS,7,1,7,1,7/20/2020,,,,1,Chamaecrista nictitans,10,7,0,3.1,1.5,N,N,leaf folded: possible measurement innacuacy,
AUS,1,048_N_CnEp_AUS,7,1,7,1,7/20/2020,,,,2,Eutrochium fistulosum,0,0,0,NA,NA,N,N,,
AUS,1,050_N_CnEp_AUS,8,1,8,1,7/20/2020,,,,1,Chamaecrista nictitans,18,7,0,3.4,2.1,N,N,,
AUS,1,050_N_CnEp_AUS,8,1,8,1,7/20/2020,,,,2,Eutrochium fistulosum,4,4,4,NA,NA,N,N,est. leaf too small to properly measure,
AUS,1,012_X_EvEv_AUS,9,1,9,1,7/20/2020,,,,1,Elymus virginicus,5,1,2,11.6,0.45,N,N,,
AUS,1,012_X_EvEv_AUS,9,1,9,1,7/20/2020,,,,2,Elymus virginicus,4,1,1,9.4,0.21,N,N,,
AUS,1,025_X_CnEv_AUS,10,1,10,1,7/20/2020,,,,1,Chamaecrista nictitans,22,11,0,4.2,2.6,N,N,,
AUS,1,025_X_CnEv_AUS,10,1,10,1,7/20/2020,,,,2,Elymus virginicus,6,1,3,15.9,0.5,N,N,,
AUS,1,011_X_EvEv_AUS,11,1,11,1,7/20/2020,,,,1,Elymus virginicus,5,1,1,11.6,0.3,N,N,,
AUS,1,011_X_EvEv_AUS,11,1,11,1,7/20/2020,,,,2,Elymus virginicus,4,1,1,11.4,0.29,N,N,,
AUS,1,005_X_CnCn_AUS,12,1,12,1,7/20/2020,,,,1,Chamaecrista nictitans,10,8,0,3.4,2.2,N,N,,
AUS,1,005_X_CnCn_AUS,12,1,12,1,7/20/2020,,,,2,Chamaecrista nictitans,39,14,0,3,2,N,N,,
AUS,1,028_X_EpEv_AUS,13,1,13,1,7/20/2020,,,,1,Eutrochium fistulosum,17,2,4,15.5,6,N,N,,
AUS,1,028_X_EpEv_AUS,13,1,13,1,7/20/2020,,,,2,Elymus virginicus,4,1,2,18.5,0.35,N,N,,
AUS,1,026_X_EpEv_AUS,14,1,14,1,7/20/2020,,,,1,Eutrochium fistulosum,0,0,8,NA,NA,N,N,,
AUS,1,026_X_EpEv_AUS,14,1,14,1,7/20/2020,,,,2,Elymus virginicus,4,1,4,16.6,0.39,N,N,,
AUS,1,031_N_CnCn_AUS,15,1,15,1,7/20/2020,,,,1,Chamaecrista nictitans,21,6,0,3.6,2.4,N,N,,
AUS,1,031_N_CnCn_AUS,15,1,15,1,7/20/2020,,,,2,Chamaecrista nictitans,18,9,0,3.2,2.1,N,N,,
AUS,1,001_X_CnCn_AUS,16,1,16,1,7/20/2020,,,,1,Chamaecrista nictitans,12,8,0,3.35,2.2,N,N,`,
AUS,1,001_X_CnCn_AUS,16,1,16,1,7/20/2020,,,,2,Chamaecrista nictitans,15,7,0,3.05,2,N,N,,
AUS,1,036_N_EpEp_AUS,17,1,17,1,7/20/2020,,,,1,Eutrochium fistulosum,7,0,4,7.4,3.1,N,N,,
AUS,1,036_N_EpEp_AUS,17,1,17,1,7/20/2020,,,,2,Eutrochium fistulosum,0,0,0,NA,NA,Y,N,pretty sure this one is dead,
AUS,1,032_N_CnCn_AUS,18,1,18,1,7/20/2020,,,,1,Chamaecrista nictitans,21,7,0,2.8,2.2,N,N,,
AUS,1,032_N_CnCn_AUS,18,1,18,1,7/20/2020,,,,2,Chamaecrista nictitans,28,14,0,4,2.8,N,N,,
AUS,1,014_X_EvEv_AUS,19,1,19,1,7/20/2020,,,,1,Elymus virginicus,4,1,1,11.7,0.3,N,N,,
AUS,1,014_X_EvEv_AUS,19,1,19,1,7/20/2020,,,,2,Elymus virginicus,3,1,1,13.6,0.3,N,N,,
AUS,1,037_N_EpEp_AUS,20,1,20,1,7/20/2020,,,,1,Eutrochium fistulosum,9,6,5,7,3.7,N,N,,
AUS,1,037_N_EpEp_AUS,20,1,20,1,7/20/2020,,,,2,Eutrochium fistulosum,0,0,0,NA,NA,Y,N,pretty sure this one is dead,
AUS,1,045_N_EvEv_AUS,21,2,20,1,7/20/2020,,,,1,Elymus virginicus,2,1,2,11.1,0.2,N,N,,
AUS,1,045_N_EvEv_AUS,21,2,20,1,7/20/2020,,,,2,Elymus virginicus,3,1,2,15,0.3,N,N,,
AUS,1,002_X_CnCn_AUS,22,2,19,1,7/20/2020,,,,1,Chamaecrista nictitans,16,12,0,3.91,2.6,N,N,,
AUS,1,002_X_CnCn_AUS,22,2,19,1,7/20/2020,,,,2,Chamaecrista nictitans,14,13,0,3.3,2.1,N,N,,
AUS,1,016_X_CnEp_AUS,23,2,18,1,7/20/2020,,,,1,Chamaecrista nictitans,13,8,0,3.49,2.1,N,N,,
AUS,1,016_X_CnEp_AUS,23,2,18,1,7/20/2020,,,,2,Eutrochium fistulosum,6,8,7,7.8,4.2,N,N,,
AUS,1,060_N_EpEv_AUS,24,2,17,1,7/20/2020,,,,1,Eutrochium fistulosum,0,0,7,NA,NA,N,N,,
AUS,1,060_N_EpEv_AUS,24,2,17,1,7/20/2020,,,,2,Elymus virginicus,4,1,0,9.5,0.3,N,N,,
AUS,1,023_X_CnEv_AUS,25,2,16,1,7/20/2020,,,,1,Chamaecrista nictitans,33,13,0,3.5,2.4,N,N,,
AUS,1,023_X_CnEv_AUS,25,2,16,1,7/20/2020,,,,2,Elymus virginicus,6,1,1,15.7,0.57,N,N,,
AUS,1,049_N_CnEp_AUS,26,2,15,1,7/20/2020,,,,1,Chamaecrista nictitans,6,3,1,1.7,1.4,N,N,,
AUS,1,049_N_CnEp_AUS,26,2,15,1,7/20/2020,,,,2,Eutrochium fistulosum,6,10,2,2.4,1.4,N,N,,
AUS,1,056_N_EpEv_AUS,27,2,14,1,7/20/2020,,,,1,Eutrochium fistulosum,6,9,9,7.48,3.7,N,N,possible flower buds!,
AUS,1,056_N_EpEv_AUS,27,2,14,1,7/20/2020,,,,2,Elymus virginicus,4,1,0,13,0.3,N,N,,
AUS,1,029_X_EpEv_AUS,28,2,13,1,7/20/2020,,,,1,Eutrochium fistulosum,14,10,3,4,2.1,N,N,,
AUS,1,029_X_EpEv_AUS,28,2,13,1,7/20/2020,,,,2,Elymus virginicus,4,1,2,11.5,0.4,N,N,,
AUS,1,058_N_EpEv_AUS,29,2,12,1,7/20/2020,,,,1,Eutrochium fistulosum,7,28,5,9,3.4,N,N,,
AUS,1,058_N_EpEv_AUS,29,2,12,1,7/20/2020,,,,2,Elymus virginicus,4,1,0,13.7,0.25,N,N,,
AUS,1,043_N_EvEv_AUS,30,2,11,1,7/20/2020,,,,1,Elymus virginicus,4,1,3,14.5,0.4,N,N,,
AUS,1,043_N_EvEv_AUS,30,2,11,1,7/20/2020,,,,2,Elymus virginicus,3,1,2,11.1,0.3,N,N,,
AUS,1,052_N_CnEv_AUS,31,2,10,1,7/20/2020,,,,1,Chamaecrista nictitans,0,4,2,NA,2,N,N,,"leaf width, but no height? "
AUS,1,052_N_CnEv_AUS,31,2,10,1,7/20/2020,,,,2,Elymus virginicus,5,1,0,12.8,0.3,N,N,,
AUS,1,017_X_CnEp_AUS,32,2,9,1,7/20/2020,,,,1,Chamaecrista nictitans,8,7,1,3.45,1.4,N,N,,
AUS,1,017_X_CnEp_AUS,32,2,9,1,7/20/2020,,,,2,Eutrochium fistulosum,5,4,1,1.2,0.9,N,N,,
AUS,1,009_X_EpEp_AUS,33,2,8,1,7/20/2020,,,,1,Eutrochium fistulosum,4,5,13,9,3.1,N,N,,
AUS,1,009_X_EpEp_AUS,33,2,8,1,7/20/2020,,,,2,Eutrochium fistulosum,4,4,1,2.8,2.25,N,N,,
AUS,1,003_X_CnCn_AUS,34,2,7,1,7/20/2020,,,,1,Chamaecrista nictitans,13,5,0,2.5,1.47,N,N,,
AUS,1,003_X_CnCn_AUS,34,2,7,1,7/20/2020,,,,2,Chamaecrista nictitans,34,18,0,3.3,1.6,N,N,,
AUS,1,033_N_CnCn_AUS,35,2,6,1,7/20/2020,,,,1,Chamaecrista nictitans,25,11,0,4.5,2.9,N,N,,
