yard,pot_id,pot_order,pot_row,pot_col,rnd_seed,date,combination,mono_hetero,nitrogen,plant_number,plant_species,nodules,notes
AUS,001_X_CnCn_AUS,36,2,5,4,8/20/2020,,,,1,Chamaecrista nictitans,135,
AUS,001_X_CnCn_AUS,36,2,5,4,8/20/2020,,,,2,Chamaecrista nictitans,81,
AUS,002_X_CnCn_AUS,1,1,1,4,8/20/2020,,,,1,Chamaecrista nictitans,273,
AUS,002_X_CnCn_AUS,1,1,1,4,8/20/2020,,,,2,Chamaecrista nictitans,81,
AUS,003_X_CnCn_AUS,18,1,18,4,8/20/2020,,,,1,Chamaecrista nictitans,0,
AUS,003_X_CnCn_AUS,18,1,18,4,8/20/2020,,,,2,Chamaecrista nictitans,210,
AUS,004_X_CnCn_AUS,16,1,16,4,8/20/2020,,,,1,Chamaecrista nictitans,143,
AUS,004_X_CnCn_AUS,16,1,16,4,8/20/2020,,,,2,Chamaecrista nictitans,105,
AUS,005_X_CnCn_AUS,46,3,6,4,8/20/2020,,,,1,Chamaecrista nictitans,231,
AUS,005_X_CnCn_AUS,46,3,6,4,8/20/2020,,,,2,Chamaecrista nictitans,176,
AUS,016_X_CnEf_AUS,21,2,20,4,8/20/2020,,,,1,Chamaecrista nictitans,65,
AUS,017_X_CnEf_AUS,43,3,3,4,8/20/2020,,,,1,Chamaecrista nictitans,93,
AUS,018_X_CnEf_AUS,26,2,15,4,8/20/2020,,,,1,Chamaecrista nictitans,120,
AUS,019_X_CnEf_AUS,41,3,1,4,8/20/2020,,,,1,Chamaecrista nictitans,161,
AUS,020_X_CnEf_AUS,32,2,9,4,8/20/2020,,,,1,Chamaecrista nictitans,96,
AUS,021_X_CnEv_AUS,29,2,12,4,8/20/2020,,,,1,Chamaecrista nictitans,120,
AUS,022_X_CnEv_AUS,39,2,2,4,8/20/2020,,,,1,Chamaecrista nictitans,TBD,
AUS,023_X_CnEv_AUS,56,3,16,4,8/20/2020,,,,1,Chamaecrista nictitans,51,
AUS,024_X_CnEv_AUS,19,1,19,4,8/20/2020,,,,1,Chamaecrista nictitans,83,
AUS,025_X_CnEv_AUS,24,2,17,4,8/20/2020,,,,1,Chamaecrista nictitans,72,
AUS,031_N_CnCn_AUS,58,3,18,4,8/20/2020,,,,1,Chamaecrista nictitans,166,
AUS,031_N_CnCn_AUS,58,3,18,4,8/20/2020,,,,2,Chamaecrista nictitans,15,
AUS,035_N_CnCn_AUS,13,1,13,4,8/20/2020,,,,1,Chamaecrista nictitans,120,
AUS,035_N_CnCn_AUS,13,1,13,4,8/20/2020,,,,2,Chamaecrista nictitans,47,
AUS,048_N_CnEp_AUS,60,3,20,4,8/20/2020,,,,1,Chamaecrista nictitans,37,
AUS,049_N_CnEf_AUS,22,2,19,4,8/20/2020,,,,1,Chamaecrista nictitans,63,
AUS,050_N_CnEf_AUS,54,3,14,4,8/20/2020,,,,1,Chamaecrista nictitans,130,
AUS,051_N_CnEv_AUS,31,2,10,4,8/20/2020,,,,1,Chamaecrista nictitans,24,
AUS,053_N_CnEv_AUS,8,1,8,4,8/20/2020,,,,1,Chamaecrista nictitans,55,
AUS,055_N_CnEv_AUS,52,3,12,4,8/20/2020,,,,1,Chamaecrista nictitans,9,
BRE,061_X_CnCn_BRE,13,2,12,5,7/22/2020,,,,1,Chamaecrista nictitans,216,
BRE,061_X_CnCn_BRE,13,2,12,5,7/22/2020,,,,2,Chamaecrista nictitans,14,
BRE,062_X_CnCn_BRE,41,4,8,5,7/22/2020,,,,1,Chamaecrista nictitans,126,
BRE,062_X_CnCn_BRE,41,4,8,5,7/22/2020,,,,2,Chamaecrista nictitans,89,
BRE,063_X_CnCn_BRE,54,5,6,5,7/22/2020,,,,1,Chamaecrista nictitans,48,
BRE,063_X_CnCn_BRE,54,5,6,5,7/22/2020,,,,2,Chamaecrista nictitans,138,
BRE,064_X_CnCn_BRE,17,2,8,5,7/22/2020,,,,1,Chamaecrista nictitans,68,
BRE,064_X_CnCn_BRE,17,2,8,5,7/22/2020,,,,2,Chamaecrista nictitans,102,
BRE,065_X_CnCn_BRE,6,1,6,5,7/22/2020,,,,1,Chamaecrista nictitans,3,
BRE,065_X_CnCn_BRE,6,1,6,5,7/22/2020,,,,2,Chamaecrista nictitans,79,
BRE,076_X_CnEp_BRE,10,1,10,5,7/22/2020,,,,1,Chamaecrista nictitans,91,
BRE,077_X_CnEp_BRE,18,2,7,5,7/22/2020,,,,1,Chamaecrista nictitans,25,
BRE,078_X_CnEp_BRE,55,5,7,5,7/22/2020,,,,1,Chamaecrista nictitans,28,
BRE,079_X_CnEp_BRE,24,2,1,5,7/22/2020,,,,1,Chamaecrista nictitans,4,
BRE,080_X_CnEp_BRE,35,3,11,5,7/22/2020,,,,1,Chamaecrista nictitans,316,
BRE,081_X_CnEv_BRE,36,3,12,5,7/22/2020,,,,1,Chamaecrista nictitans,89,
BRE,082_X_CnEv_BRE,58,5,10,5,7/22/2020,,,,1,Chamaecrista nictitans,7,
BRE,083_X_CnEv_BRE,9,1,9,5,7/22/2020,,,,1,Chamaecrista nictitans,95,
BRE,084_X_CnEv_BRE,38,4,11,5,7/22/2020,,,,1,Chamaecrista nictitans,81,
