pot_id,plant_num,plant_species,above_biomass_g,below_biomass_g,date,notes,,,,,,,,,,,,,,,,,,,
001_X_CnCn_AUS,1,Chamaecrista nictitans,0.581,0.206,8/18/2020,,,,,,,,,,,,,,,,,,,,
001_X_CnCn_AUS,2,Chamaecrista nictitans,1.171,0.438,8/18/2020,,,,,,,,,,,,,,,,,,,,
002_X_CnCn_AUS,1,Chamaecrista nictitans,1.6,0.778,8/18/2020,,,,,,,,,,,,,,,,,,,,
002_X_CnCn_AUS,2,Chamaecrista nictitans,0.397,0.139,8/18/2020,,,,,,,,,,,,,,,,,,,,
003_X_CnCn_AUS,1,Chamaecrista nictitans,0.038,0.022,8/15/2020,,,,,,,,,,,,,,,,,,,,
003_X_CnCn_AUS,2,Chamaecrista nictitans,1.372,0.635,8/15/2020,,,,,,,,,,,,,,,,,,,,
004_X_CnCn_AUS,1,Chamaecrista nictitans,0.713,0.232,8/18/2020,,,,,,,,,,,,,,,,,,,,
004_X_CnCn_AUS,2,Chamaecrista nictitans,0.251,0.139,8/18/2020,,,,,,,,,,,,,,,,,,,,
005_X_CnCn_AUS,1,Chamaecrista nictitans,0.484,0.534,8/18/2020,,,,,,,,,,,,,,,,,,,,
005_X_CnCn_AUS,2,Chamaecrista nictitans,1.008,0.629,8/18/2020,,,,,,,,,,,,,,,,,,,,
006_X_EpEp_AUS,1,Eutrochium fistulosum,,,,,,,,,,,,,,,,,,,,,,,
006_X_EpEp_AUS,2,Eutrochium fistulosum,0.108,0.139,8/18/2020,,,,,,,,,,,,,,,,,,,,
007_X_EpEp_AUS,1,Eutrochium fistulosum,0.15,0.193,8/18/2020,,,,,,,,,,,,,,,,,,,,
007_X_EpEp_AUS,2,Eutrochium fistulosum,,,,,,,,,,,,,,,,,,,,,,,
008_X_EpEp_AUS,1,Eutrochium fistulosum,0.064,0.185,8/16/2020,,,,,,,,,,,,,,,,,,,,
008_X_EpEp_AUS,2,Eutrochium fistulosum,0.043,0.069,8/16/2020,,,,,,,,,,,,,,,,,,,,
009_X_EpEp_AUS,1,Eutrochium fistulosum,1.382,2.115,8/18/2020,below bag is dated 8/19/2020,,,,,,,,,,,,,,,,,,,
009_X_EpEp_AUS,2,Eutrochium fistulosum,0.852,0.831,08/19/2020,,,,,,,,,,,,,,,,,,,,
010_X_EpEp_AUS,1,Eutrochium fistulosum,0.457,0.355,8/20/2020,,,,,,,,,,,,,,,,,,,,
010_X_EpEp_AUS,2,Eutrochium fistulosum,0.346,0.583,8/19/2020,,,,,,,,,,,,,,,,,,,,
011_X_EvEv_AUS,1,Elymus virginicus,0.139,0.428,8/18/2020,,,,,,,,,,,,,,,,,,,,
011_X_EvEv_AUS,2,Elymus virginicus,0.079,0.285,8/19/2020,,,,,,,,,,,,,,,,,,,,
012_X_EvEv_AUS,1,Elymus virginicus,0.097,0.603,8/18/2020,,,,,,,,,,,,,,,,,,,,
012_X_EvEv_AUS,2,Elymus virginicus,0.053,0.655,8/18/2020,,,,,,,,,,,,,,,,,,,,
013_X_EvEv_AUS,1,Elymus virginicus,0.13,0.232,8/15/2020,,,,,,,,,,,,,,,,,,,,
013_X_EvEv_AUS,2,Elymus virginicus,0.141,0.256,8/15/2020,,,,,,,,,,,,,,,,,,,,
014_X_EvEv_AUS,1,Elymus virginicus,0.014,0.206,8/18/2020,,,,,,,,,,,,,,,,,,,,
014_X_EvEv_AUS,2,Elymus virginicus,0.068,0.399,8/19/2020,,,,,,,,,,,,,,,,,,,,
015_X_EvEv_AUS,1,Elymus virginicus,0.315,0.389,8/17/2020,,,,,,,,,,,,,,,,,,,,
015_X_EvEv_AUS,2,Elymus virginicus,0.077,0.306,8/17/2020,,,,,,,,,,,,,,,,,,,,
016_X_CnEp_AUS,1,Chamaecrista nictitans,1.14,0.696,8/17/2020,,,,,,,,,,,,,,,,,,,,
016_X_CnEp_AUS,2,Eutrochium fistulosum,1.509,1.278,8/17/2020,,,,,,,,,,,,,,,,,,,,
017_X_CnEp_AUS,1,Chamaecrista nictitans,0.171,0.185,8/19/2020,,,,,,,,,,,,,,,,,,,,
017_X_CnEp_AUS,2,Eutrochium fistulosum,0.117,0.037,8/19/2020,,,,,,,,,,,,,,,,,,,,
018_X_CnEp_AUS,1,Chamaecrista nictitans,0.192,0.076,8/15/2020,,,,,,,,,,,,,,,,,,,,
018_X_CnEp_AUS,2,Eutrochium fistulosum,0.127,0.053,8/15/2020,,,,,,,,,,,,,,,,,,,,
019_X_CnEp_AUS,1,Chamaecrista nictitans,0.024,0.052,8/19/2020,,,,,,,,,,,,,,,,,,,,
020_X_CnEp_AUS,1,Chamaecrista nictitans,1.174,0.514,8/18/2020,date on below bag is 8/19/2020,,,,,,,,,,,,,,,,,,,
020_X_CnEp_AUS,2,Eutrochium fistulosum,0.625,0.427,8/18/2020,date on below bag is 8/19/2020,,,,,,,,,,,,,,,,,,,
021_X_CnEv_AUS,1,Chamaecrista nictitans,1.547,0.705,8/18/2020,,,,,,,,,,,,,,,,,,,,
021_X_CnEv_AUS,2,Elymus virginicus,0.175,0.604,8/18/2020,,,,,,,,,,,,,,,,,,,,
022_X_CnEv_AUS,1,Chamaecrista nictitans,2.495,0.874,8/20/2020,,,,,,,,,,,,,,,,,,,,
022_X_CnEv_AUS,2,Elymus virginicus,0.219,0.25,8/18/2020,,,,,,,,,,,,,,,,,,,,
023_X_CnEv_AUS,1,Chamaecrista nictitans,0.392,0.095,8/15/2020,,,,,,,,,,,,,,,,,,,,
023_X_CnEv_AUS,2,Elymus virginicus,0.284,0.411,8/15/2020,,,,,,,,,,,,,,,,,,,,
024_X_CnEv_AUS,1,Chamaecrista nictitans,0.477,0.127,8/17/2020,,,,,,,,,,,,,,,,,,,,
024_X_CnEv_AUS,2,Elymus virginicus,0.076,0.336,8/17/2020,,,,,,,,,,,,,,,,,,,,
025_X_CnEv_AUS,1,Chamaecrista nictitans,0.441,0.132,8/15/2020,,,,,,,,,,,,,,,,,,,,
025_X_CnEv_AUS,2,Elymus virginicus,0.276,0.391,8/15/2020,,,,,,,,,,,,,,,,,,,,
026_X_EpEv_AUS,1,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
026_X_EpEv_AUS,2,Elymus virginicus,0.311,0.494,8/18/2020,,,,,,,,,,,,,,,,,,,,
027_X_EpEv_AUS,1,Eutrochium fistulosum,0.498,0.322,8/17/2020,,,,,,,,,,,,,,,,,,,,
027_X_EpEv_AUS,2,Elymus virginicus,0.184,0.362,8/17/2020,,,,,,,,,,,,,,,,,,,,
028_X_EpEv_AUS,1,Eutrochium fistulosum,3.646,5.532,8/16/2020,,,,,,,,,,,,,,,,,,,,
028_X_EpEv_AUS,2,Elymus virginicus,0.148,0.3,8/16/2020,,,,,,,,,,,,,,,,,,,,
029_X_EpEv_AUS,1,Eutrochium fistulosum,1.027,0.914,8/20/20,,,,,,,,,,,,,,,,,,,,
029_X_EpEv_AUS,2,Elymus virginicus,0.232,0.348,8/20/2020,,,,,,,,,,,,,,,,,,,,
030_X_EpEv_AUS,1,Eutrochium fistulosum,0.223,0.366,8/18/2020,,,,,,,,,,,,,,,,,,,,
030_X_EpEv_AUS,2,Elymus virginicus,0.192,0.373,8/18/2020,,,,,,,,,,,,,,,,,,,,
031_N_CnCn_AUS,1,Chamaecrista nictitans,0.717,0.256,8/15/2020,,,,,,,,,,,,,,,,,,,,
031_N_CnCn_AUS,2,Chamaecrista nictitans,0.074,0.036,8/15/2020,,,,,,,,,,,,,,,,,,,,
032_N_CnCn_AUS,1,Chamaecrista nictitans,1.22,0.416,08/19/2020,below not in same bag?,,,,,,,,,,,,,,,,,,,
032_N_CnCn_AUS,2,Chamaecrista nictitans,2.257,0.715,8/19/2020,below not in same bag; 167 nodules,,,,,,,,,,,,,,,,,,,
033_N_CnCn_AUS,1,Chamaecrista nictitans,0.839,0.337,08/15/2020,,,,,,,,,,,,,,,,,,,,
033_N_CnCn_AUS,2,Chamaecrista nictitans,0.17,0.025,8/18/2020,,,,,,,,,,,,,,,,,,,,
034_N_CnCn_AUS,1,Chamaecrista nictitans,0.309,0.133,08/19/2020,,,,,,,,,,,,,,,,,,,,
034_N_CnCn_AUS,2,Chamaecrista nictitans,0.495,0.159,8/19/2020,,,,,,,,,,,,,,,,,,,,
035_N_CnCn_AUS,1,Chamaecrista nictitans,0.724,0.242,8/19/2020,,,,,,,,,,,,,,,,,,,,
035_N_CnCn_AUS,2,Chamaecrista nictitans,0.685,0.217,8/18/2020,,,,,,,,,,,,,,,,,,,,
036_N_EpEp_AUS,1,Eutrochium fistulosum,0.312,0.715,8/19/2020,"check abg with plant height, below biomass in separate bag",,,,,,,,,,,,,,,,,,,
