pot_id,plant_species,plant_number,resprouts,notes
001_X_CnCn_AUS,Chamaecrista nictitans,1,0,
001_X_CnCn_AUS,Chamaecrista nictitans,2,0,
002_X_CnCn_AUS,Chamaecrista nictitans,1,0,
002_X_CnCn_AUS,Chamaecrista nictitans,2,0,
003_X_CnCn_AUS,Chamaecrista nictitans,1,0,
003_X_CnCn_AUS,Chamaecrista nictitans,2,0,
004_X_CnCn_AUS,Chamaecrista nictitans,1,0,
004_X_CnCn_AUS,Chamaecrista nictitans,2,0,
005_X_CnCn_AUS,Chamaecrista nictitans,1,0,
005_X_CnCn_AUS,Chamaecrista nictitans,2,0,
007_X_EfEf_AUS,Eutrochium fistulosum,survivor,3,
009_X_EfEf_AUS,Eutrochium fistulosum,1,1,
009_X_EfEf_AUS,Eutrochium fistulosum,2,2,
010_X_EfEf_AUS,Elymus virginicus,1,3,
010_X_EfEf_AUS,Elymus virginicus,2,6,
011_X_EvEv_AUS,Elymus virginicus,1,9,
011_X_EvEv_AUS,Elymus virginicus,2,6,
012_X_EvEv_AUS,Elymus virginicus,1,7,
012_X_EvEv_AUS,Elymus virginicus,2,5,
013_X_EvEv_AUS,Elymus virginicus,1,7,
013_X_EvEv_AUS,Elymus virginicus,2,11,
014_X_EvEv_AUS,Elymus virginicus,1,2,
014_X_EvEv_AUS,Elymus virginicus,2,3,
015_X_EvEv_AUS,Elymus virginicus,1,6,
015_X_EvEv_AUS,Elymus virginicus,2,3,
016_X_CnEf_AUS,Chamaecrista nictitans,1,0,
016_X_CnEf_AUS,Eutrochium fistulosum,2,6,
017_X_CnEf_AUS,Chamaecrista nictitans,1,0,
018_X_CnEf_AUS,Chamaecrista nictitans,1,0,
019_X_CnEf_AUS,Chamaecrista nictitans,1,1,
020_X_CnEf_AUS,Chamaecrista nictitans,1,0,
020_X_CnEf_AUS,Eutrochium fistulosum,2,1,
021_X_CnEv_AUS,Chamaecrista nictitans,1,0,
021_X_CnEv_AUS,Elymus virginicus,2,1,
022_X_CnEv_AUS,Chamaecrista nictitans,1,0,
022_X_CnEv_AUS,Elymus virginicus,2,2,
023_X_CnEv_AUS,Chamaecrista nictitans,1,0,
023_X_CnEv_AUS,Elymus virginicus,2,7,
024_X_CnEv_AUS,Chamaecrista nictitans,1,0,
024_X_CnEv_AUS,Elymus virginicus,2,6,
025_X_CnEv_AUS,Chamaecrista nictitans,1,1,
025_X_CnEv_AUS,Elymus virginicus,2,15,
026_X_EfEv_AUS,Elymus virginicus,survivor,15,
027_X_EfEv_AUS,Elymus virginicus,survivor,12,
028_X_EfEv_AUS,Eutrochium fistulosum,1,8,
028_X_EfEv_AUS,Elymus virginicus,2,1,
029_X_EfEv_AUS,Elymus virginicus,survivor,7,
030_X_EfEv_AUS,Elymus virginicus,survivor,9,
031_N_CnCn_AUS,Chamaecrista nictitans,1,1,
031_N_CnCn_AUS,Chamaecrista nictitans,2,0,
035_N_CnCn_AUS,Chamaecrista nictitans,1,0,
035_N_CnCn_AUS,Chamaecrista nictitans,2,0,
037_N_EpEp_AUS,Eutrochium fistulosum,survivor,2,
044_N_EvEv_AUS,Elymus virginicus,1,14,
044_N_EvEv_AUS,Elymus virginicus,2,8,
045_N_EvEv_AUS,Elymus virginicus,1,3,
045_N_EvEv_AUS,Elymus virginicus,2,7,
048_N_CnEp_AUS,Chamaecrista nictitans,1,0,
048_N_CnEp_AUS,Eutrochium fistulosum,2,3,
049_N_CnEf_AUS,Chamaecrista nictitans,1,1,
049_N_CnEf_AUS,Elymus virginicus,2,1,
050_N_CnEf_AUS,Chamaecrista nictitans,survivor,0,
051_N_CnEv_AUS,Chamaecrista nictitans,1,0,
